S.No,DNAPass AS Name,Subject coverage,Weighted Score
316,BNCH-Java-Jr-Java Jr Dev Test-grades,0.8,0.6534
317,BNCH-Java-Jr-Java Jr Dev Test-grades,0.6,0.5688
318,BNCH-Java-Jr-Java Jr Dev Test-grades,0.32,0.3382
319,BNCH-Java-Jr-Java Jr Dev Test-grades,0.36,0.3152
320,BNCH-Java-Jr-Java Jr Dev Test-grades,0.72,0.6751
321,BNCH-Java-Jr-Java Jr Dev Test-grades,0.48,0.3877
322,BNCH-Java-Jr-Java Jr Dev Test-grades,0.56,0.5133
323,BNCH-Java-Jr-Java Jr Dev Test-grades,0.4,0.2911
324,BNCH-Java-Jr-Java Jr Dev Test-grades,0.16,0.0882
325,BNCH-Java-Jr-Java Jr Dev Test-grades,0.64,0.6522
326,BNCH-Java-Jr-Java Jr Dev Test-grades,0.68,0.6232
327,BNCH-Java-Jr-Java Jr Dev Test-grades,0.56,0.4674
328,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.3768
329,BNCH-Java-Jr-Java Jr Dev Test-grades,0.4,0.3623
330,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.4553
331,BNCH-Java-Jr-Java Jr Dev Test-grades,0.56,0.4493
332,BNCH-Java-Jr-Java Jr Dev Test-grades,0.36,0.308
333,BNCH-Java-Jr-Java Jr Dev Test-grades,0.24,0.1449
334,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.3249
335,BNCH-Java-Jr-Java Jr Dev Test-grades,0.32,0.3007
336,BNCH-Java-Jr-Java Jr Dev Test-grades,0.2,0.2101
337,BNCH-Java-Jr-Java Jr Dev Test-grades,0.28,0.2536
338,BNCH-Java-Jr-Java Jr Dev Test-grades,0.4,0.3925
339,BNCH-Java-Jr-Java Jr Dev Test-grades,0.4,0.3877
340,BNCH-Java-Jr-Java Jr Dev Test-grades,0.56,0.5254
341,BNCH-Java-Jr-Java Jr Dev Test-grades,0.4,0.3297
342,BNCH-Java-Jr-Java Jr Dev Test-grades,0,0
343,BNCH-Java-Jr-Java Jr Dev Test-grades,0,0
344,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.3937
345,BNCH-Java-Jr-Java Jr Dev Test-grades,0.2,0.1981
346,BNCH-Java-Jr-Java Jr Dev Test-grades,0.4,0.407
347,BNCH-Java-Jr-Java Jr Dev Test-grades,0.24,0.1316
348,BNCH-Java-Jr-Java Jr Dev Test-grades,0.36,0.2911
349,BNCH-Java-Jr-Java Jr Dev Test-grades,0.48,0.4143
350,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.3949
351,BNCH-Java-Jr-Java Jr Dev Test-grades,0.2,0.215
352,BNCH-Java-Jr-Java Jr Dev Test-grades,0.64,0.5797
353,BNCH-Java-Jr-Java Jr Dev Test-grades,0.36,0.3285
354,BNCH-Java-Jr-Java Jr Dev Test-grades,0.36,0.3345
355,BNCH-Java-Jr-Java Jr Dev Test-grades,0.28,0.2258
356,BNCH-Java-Jr-Java Jr Dev Test-grades,0.52,0.5
357,BNCH-Java-Jr-Java Jr Dev Test-grades,0.76,0.6667
358,BNCH-Java-Jr-Java Jr Dev Test-grades,0.72,0.6594
359,BNCH-Java-Jr-Java Jr Dev Test-grades,0.8,0.6582
360,BNCH-Java-Jr-Java Jr Dev Test-grades,0.52,0.5713
361,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.4746
362,BNCH-Java-Jr-Java Jr Dev Test-grades,0.72,0.6365
363,BNCH-Java-Jr-Java Jr Dev Test-grades,0.64,0.6111
364,BNCH-Java-Jr-Java Jr Dev Test-grades,0.56,0.535
365,BNCH-Java-Jr-Java Jr Dev Test-grades,0.76,0.6739
366,BNCH-Java-Jr-Java Jr Dev Test-grades,0.8,0.7935
367,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.4239
368,BNCH-Java-Jr-Java Jr Dev Test-grades,0.64,0.5072
369,BNCH-Java-Jr-Java Jr Dev Test-grades,0.56,0.5797
370,BNCH-Java-Jr-Java Jr Dev Test-grades,0.36,0.3478
371,BNCH-Java-Jr-Java Jr Dev Test-grades,0.68,0.587
372,BNCH-Java-Jr-Java Jr Dev Test-grades,0.68,0.6425
373,BNCH-Java-Jr-Java Jr Dev Test-grades,0.52,0.5616
374,BNCH-Java-Jr-Java Jr Dev Test-grades,0.72,0.6401
375,BNCH-Java-Jr-Java Jr Dev Test-grades,0.6,0.5652
376,BNCH-Java-Jr-Java Jr Dev Test-grades,0.52,0.5362
377,BNCH-Java-Jr-Java Jr Dev Test-grades,0.6,0.5906
378,BNCH-Java-Jr-Java Jr Dev Test-grades,0.72,0.622
379,BNCH-Java-Jr-Java Jr Dev Test-grades,0.48,0.5036
380,BNCH-Java-Jr-Java Jr Dev Test-grades,0.72,0.6582
381,BNCH-Java-Jr-Java Jr Dev Test-grades,0.64,0.5411
382,BNCH-Java-Jr-Java Jr Dev Test-grades,0.6,0.5133
383,BNCH-Java-Jr-Java Jr Dev Test-grades,0.04,0.0725
384,BNCH-Java-Jr-Java Jr Dev Test-grades,0.6,0.5459
385,BNCH-Java-Jr-Java Jr Dev Test-grades,0.6,0.6232
386,BNCH-Java-Jr-Java Jr Dev Test-grades,0.52,0.5217
387,BNCH-Java-Jr-Java Jr Dev Test-grades,0.84,0.7995
388,BNCH-Java-Jr-Java Jr Dev Test-grades,0.56,0.5266
389,BNCH-Java-Jr-Java Jr Dev Test-grades,0.36,0.3901
390,BNCH-Java-Jr-Java Jr Dev Test-grades,0.72,0.6739
391,BNCH-Java-Jr-Java Jr Dev Test-grades,0.56,0.5966
392,BNCH-Java-Jr-Java Jr Dev Test-grades,0.72,0.7174
393,BNCH-Java-Jr-Java Jr Dev Test-grades,0.56,0.5471
394,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.3406
395,BNCH-Java-Jr-Java Jr Dev Test-grades,0.6,0.5471
396,BNCH-Java-Jr-Java Jr Dev Test-grades,0.68,0.6522
397,BNCH-Java-Jr-Java Jr Dev Test-grades,0.56,0.5181
398,BNCH-Java-Jr-Java Jr Dev Test-grades,0.72,0.6836
399,BNCH-Java-Jr-Java Jr Dev Test-grades,0.6,0.5362
400,BNCH-Java-Jr-Java Jr Dev Test-grades,0.8,0.814
401,BNCH-Java-Jr-Java Jr Dev Test-grades,0.72,0.75
402,BNCH-Java-Jr-Java Jr Dev Test-grades,0.88,0.8031
403,BNCH-Java-Jr-Java Jr Dev Test-grades,0.56,0.4855
404,BNCH-Java-Jr-Java Jr Dev Test-grades,0.6,0.6425
405,BNCH-Java-Jr-Java Jr Dev Test-grades,0.2,0.215
406,BNCH-Java-Jr-Java Jr Dev Test-grades,0.64,0.5374
407,BNCH-Java-Jr-Java Jr Dev Test-grades,0.64,0.6099
408,BNCH-Java-Jr-Java Jr Dev Test-grades,0.68,0.564
409,BNCH-Java-Jr-Java Jr Dev Test-grades,0.76,0.7464
410,BNCH-Java-Jr-Java Jr Dev Test-grades,0.76,0.6377
411,BNCH-Java-Jr-Java Jr Dev Test-grades,0.8,0.6389
412,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.4203
413,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.558
414,BNCH-Java-Jr-Java Jr Dev Test-grades,0.36,0.3901
415,BNCH-Java-Jr-Java Jr Dev Test-grades,0.28,0.2633
416,BNCH-Java-Jr-Java Jr Dev Test-grades,0.6,0.5507
417,BNCH-Java-Jr-Java Jr Dev Test-grades,0.64,0.6365
418,BNCH-Java-Jr-Java Jr Dev Test-grades,0.52,0.5725
419,BNCH-Java-Jr-Java Jr Dev Test-grades,0.04,0.0435
420,BNCH-Java-Jr-Java Jr Dev Test-grades,0.64,0.5749
421,BNCH-Java-Jr-Java Jr Dev Test-grades,0.68,0.5906
422,BNCH-Java-Jr-Java Jr Dev Test-grades,0.4,0.3454
423,BNCH-Java-Jr-Java Jr Dev Test-grades,0.24,0.1715
424,BNCH-Java-Jr-Java Jr Dev Test-grades,0.6,0.5362
425,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.3829
426,BNCH-Java-Jr-Java Jr Dev Test-grades,0.84,0.8007
427,BNCH-Java-Jr-Java Jr Dev Test-grades,0.68,0.6667
428,BNCH-Java-Jr-Java Jr Dev Test-grades,0.64,0.6087
429,BNCH-Java-Jr-Java Jr Dev Test-grades,0.56,0.5737
430,BNCH-Java-Jr-Java Jr Dev Test-grades,0.4,0.2391
431,BNCH-Java-Jr-Java Jr Dev Test-grades,0.68,0.6087
432,BNCH-Java-Jr-Java Jr Dev Test-grades,0.76,0.6836
433,BNCH-Java-Jr-Java Jr Dev Test-grades,0.68,0.5954
434,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.3007
435,BNCH-Java-Jr-Java Jr Dev Test-grades,0.12,0.07
436,BNCH-Java-Jr-Java Jr Dev Test-grades,0.6,0.6316
437,BNCH-Java-Jr-Java Jr Dev Test-grades,0.36,0.3949
438,BNCH-Java-Jr-Java Jr Dev Test-grades,0,0.0072
439,BNCH-Java-Jr-Java Jr Dev Test-grades,0.32,0.2778
440,BNCH-Java-Jr-Java Jr Dev Test-grades,0.24,0.1739
441,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.3949
442,BNCH-Java-Jr-Java Jr Dev Test-grades,0.16,0.0519
443,BNCH-Java-Jr-Java Jr Dev Test-grades,0.56,0.5157
444,BNCH-Java-Jr-Java Jr Dev Test-grades,0.32,0.2585
445,BNCH-Java-Jr-Java Jr Dev Test-grades,0,0.0024
446,BNCH-Java-Jr-Java Jr Dev Test-grades,0.72,0.6703
447,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.4457
448,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.3816
449,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.4783
450,BNCH-Java-Jr-Java Jr Dev Test-grades,0.04,0.0036
451,BNCH-Java-Jr-Java Jr Dev Test-grades,0.4,0.3478
452,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.4964
453,BNCH-Java-Jr-Java Jr Dev Test-grades,0.36,0.2041
454,BNCH-Java-Jr-Java Jr Dev Test-grades,0.76,0.6425
455,BNCH-Java-Jr-Java Jr Dev Test-grades,0.68,0.5254
456,BNCH-Java-Jr-Java Jr Dev Test-grades,0.2,0.1812
457,BNCH-Java-Jr-Java Jr Dev Test-grades,0.4,0.3478
458,BNCH-Java-Jr-Java Jr Dev Test-grades,0,0
459,BNCH-Java-Jr-Java Jr Dev Test-grades,0.6,0.5676
460,BNCH-Java-Jr-Java Jr Dev Test-grades,0.12,0.2415
461,BNCH-Java-Jr-Java Jr Dev Test-grades,0.52,0.3841
462,BNCH-Java-Jr-Java Jr Dev Test-grades,0.32,0.3043
463,BNCH-Java-Jr-Java Jr Dev Test-grades,0.64,0.6425
464,BNCH-Java-Jr-Java Jr Dev Test-grades,0.72,0.6184
465,BNCH-Java-Jr-Java Jr Dev Test-grades,0.64,0.5761
466,BNCH-Java-Jr-Java Jr Dev Test-grades,0.04,0.0145
467,BNCH-Java-Jr-Java Jr Dev Test-grades,0.2,0.1449
468,BNCH-Java-Jr-Java Jr Dev Test-grades,0.2,0.2222
469,BNCH-Java-Jr-Java Jr Dev Test-grades,0.64,0.5483
470,BNCH-Java-Jr-Java Jr Dev Test-grades,0.2,0.2512
471,BNCH-Java-Jr-Java Jr Dev Test-grades,0.32,0.2645
472,BNCH-Java-Jr-Java Jr Dev Test-grades,0.8,0.7367
473,BNCH-Java-Jr-Java Jr Dev Test-grades,0.28,0.2826
474,BNCH-Java-Jr-Java Jr Dev Test-grades,0.52,0.4179
475,BNCH-Java-Jr-Java Jr Dev Test-grades,0.2,0.2017
476,BNCH-Java-Jr-Java Jr Dev Test-grades,0.16,0.1401
477,BNCH-Java-Jr-Java Jr Dev Test-grades,0.2,0.1594
478,BNCH-Java-Jr-Java Jr Dev Test-grades,0.64,0.7077
479,BNCH-Java-Jr-Java Jr Dev Test-grades,0.84,0.7089
480,BNCH-Java-Jr-Java Jr Dev Test-grades,0.56,0.5797
481,BNCH-Java-Jr-Java Jr Dev Test-grades,0.48,0.4239
482,BNCH-Java-Jr-Java Jr Dev Test-grades,0.56,0.4783
483,BNCH-Java-Jr-Java Jr Dev Test-grades,0.68,0.6606
484,BNCH-Java-Jr-Java Jr Dev Test-grades,0.88,0.8188
485,BNCH-Java-Jr-Java Jr Dev Test-grades,0.64,0.5785
486,BNCH-Java-Jr-Java Jr Dev Test-grades,0.4,0.3611
487,BNCH-Java-Jr-Java Jr Dev Test-grades,0.2,0.1486
488,BNCH-Java-Jr-Java Jr Dev Test-grades,0.16,0.1316
489,BNCH-Java-Jr-Java Jr Dev Test-grades,0.48,0.5181
490,BNCH-Java-Jr-Java Jr Dev Test-grades,0.28,0.2415
491,BNCH-Java-Jr-Java Jr Dev Test-grades,0.24,0.2488
492,BNCH-Java-Jr-Java Jr Dev Test-grades,0.48,0.5423
493,BNCH-Java-Jr-Java Jr Dev Test-grades,0.32,0.2911
494,BNCH-Java-Jr-Java Jr Dev Test-grades,0,0
495,BNCH-Java-Jr-Java Jr Dev Test-grades,0.16,0.0906
496,BNCH-Java-Jr-Java Jr Dev Test-grades,0.32,0.3297
497,BNCH-Java-Jr-Java Jr Dev Test-grades,0.28,0.3563
498,BNCH-Java-Jr-Java Jr Dev Test-grades,0.48,0.4565
499,BNCH-Java-Jr-Java Jr Dev Test-grades,0.08,0.1449
500,BNCH-Java-Jr-Java Jr Dev Test-grades,0.32,0.3007
501,BNCH-Java-Jr-Java Jr Dev Test-grades,0.64,0.6123
502,BNCH-Java-Jr-Java Jr Dev Test-grades,0.64,0.6063
503,BNCH-Java-Jr-Java Jr Dev Test-grades,0.52,0.6341
504,BNCH-Java-Jr-Java Jr Dev Test-grades,0.32,0.3647
505,BNCH-Java-Jr-Java Jr Dev Test-grades,0.68,0.6111
506,BNCH-Java-Jr-Java Jr Dev Test-grades,0.4,0.3007
507,BNCH-Java-Jr-Java Jr Dev Test-grades,0.4,0.4601
508,BNCH-Java-Jr-Java Jr Dev Test-grades,0.64,0.5374
509,BNCH-Java-Jr-Java Jr Dev Test-grades,0.68,0.6196
510,BNCH-Java-Jr-Java Jr Dev Test-grades,0.56,0.5157
511,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.4529
512,BNCH-Java-Jr-Java Jr Dev Test-grades,0.2,0.2464
513,BNCH-Java-Jr-Java Jr Dev Test-grades,0.52,0.5181
514,BNCH-Java-Jr-Java Jr Dev Test-grades,0.56,0.529
515,BNCH-Java-Jr-Java Jr Dev Test-grades,0.24,0.2053
516,BNCH-Java-Jr-Java Jr Dev Test-grades,0.4,0.349
517,BNCH-Java-Jr-Java Jr Dev Test-grades,0.32,0.3152
518,BNCH-Java-Jr-Java Jr Dev Test-grades,0.64,0.5664
519,BNCH-Java-Jr-Java Jr Dev Test-grades,0.2,0.1123
520,BNCH-Java-Jr-Java Jr Dev Test-grades,0.52,0.6039
521,BNCH-Java-Jr-Java Jr Dev Test-grades,0.68,0.6449
522,BNCH-Java-Jr-Java Jr Dev Test-grades,0.56,0.5568
523,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.4601
524,BNCH-Java-Jr-Java Jr Dev Test-grades,0.28,0.2101
525,BNCH-Java-Jr-Java Jr Dev Test-grades,0.76,0.6727
526,BNCH-Java-Jr-Java Jr Dev Test-grades,0.4,0.3478
527,BNCH-Java-Jr-Java Jr Dev Test-grades,0.68,0.6196
528,BNCH-Java-Jr-Java Jr Dev Test-grades,0.72,0.6703
529,BNCH-Java-Jr-Java Jr Dev Test-grades,0.56,0.5688
530,BNCH-Java-Jr-Java Jr Dev Test-grades,0.36,0.4396
531,BNCH-Java-Jr-Java Jr Dev Test-grades,0.8,0.7681
532,BNCH-Java-Jr-Java Jr Dev Test-grades,0.52,0.5857
533,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.3623
534,BNCH-Java-Jr-Java Jr Dev Test-grades,0.6,0.5072
535,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.43
536,BNCH-Java-Jr-Java Jr Dev Test-grades,0.56,0.5725
537,BNCH-Java-Jr-Java Jr Dev Test-grades,0.32,0.337
538,BNCH-Java-Jr-Java Jr Dev Test-grades,0.4,0.4034
539,BNCH-Java-Jr-Java Jr Dev Test-grades,0.4,0.2826
540,BNCH-Java-Jr-Java Jr Dev Test-grades,0.16,0.1304
541,BNCH-Java-Jr-Java Jr Dev Test-grades,0.16,0.1268
542,BNCH-Java-Jr-Java Jr Dev Test-grades,0.32,0.3043
543,BNCH-Java-Jr-Java Jr Dev Test-grades,0.72,0.6884
544,BNCH-Java-Jr-Java Jr Dev Test-grades,0.24,0.3007
545,BNCH-Java-Jr-Java Jr Dev Test-grades,0.56,0.5749
546,BNCH-Java-Jr-Java Jr Dev Test-grades,0,0
547,BNCH-Java-Jr-Java Jr Dev Test-grades,0.48,0.3841
548,BNCH-Java-Jr-Java Jr Dev Test-grades,0.2,0.2307
549,BNCH-Java-Jr-Java Jr Dev Test-grades,0.08,0.0604
550,BNCH-Java-Jr-Java Jr Dev Test-grades,0.52,0.5821
551,BNCH-Java-Jr-Java Jr Dev Test-grades,0.16,0.1377
552,BNCH-Java-Jr-Java Jr Dev Test-grades,0.36,0.3056
553,BNCH-Java-Jr-Java Jr Dev Test-grades,0.56,0.5483
554,BNCH-Java-Jr-Java Jr Dev Test-grades,0.68,0.6329
555,BNCH-Java-Jr-Java Jr Dev Test-grades,0.4,0.4565
556,BNCH-Java-Jr-Java Jr Dev Test-grades,0.12,0.1787
557,BNCH-Java-Jr-Java Jr Dev Test-grades,0.48,0.3986
558,BNCH-Java-Jr-Java Jr Dev Test-grades,0.4,0.378
559,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.337
560,BNCH-Java-Jr-Java Jr Dev Test-grades,0.72,0.7162
561,BNCH-Java-Jr-Java Jr Dev Test-grades,0.64,0.6159
562,BNCH-Java-Jr-Java Jr Dev Test-grades,0.6,0.5338
563,BNCH-Java-Jr-Java Jr Dev Test-grades,0.12,0.1184
564,BNCH-Java-Jr-Java Jr Dev Test-grades,0.6,0.57
565,BNCH-Java-Jr-Java Jr Dev Test-grades,0.24,0.1703
566,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.3865
567,BNCH-Java-Jr-Java Jr Dev Test-grades,0.8,0.6111
568,BNCH-Java-Jr-Java Jr Dev Test-grades,0.28,0.2488
569,BNCH-Java-Jr-Java Jr Dev Test-grades,0,0.0072
570,BNCH-Java-Jr-Java Jr Dev Test-grades,0.2,0.2766
571,BNCH-Java-Jr-Java Jr Dev Test-grades,0,0
572,BNCH-Java-Jr-Java Jr Dev Test-grades,0.2,0.1775
573,BNCH-Java-Jr-Java Jr Dev Test-grades,0.32,0.2754
574,BNCH-Java-Jr-Java Jr Dev Test-grades,0.24,0.1812
575,BNCH-Java-Jr-Java Jr Dev Test-grades,0.24,0.1486
576,BNCH-Java-Jr-Java Jr Dev Test-grades,0.32,0.3188
577,BNCH-Java-Jr-Java Jr Dev Test-grades,0.2,0.2295
578,BNCH-Java-Jr-Java Jr Dev Test-grades,0.36,0.3043
579,BNCH-Java-Jr-Java Jr Dev Test-grades,0.24,0.3587
580,BNCH-Java-Jr-Java Jr Dev Test-grades,0.48,0.3285
581,BNCH-Java-Jr-Java Jr Dev Test-grades,0.76,0.6546
582,BNCH-Java-Jr-Java Jr Dev Test-grades,0.16,0.1522
583,BNCH-Java-Jr-Java Jr Dev Test-grades,0.68,0.628
584,BNCH-Java-Jr-Java Jr Dev Test-grades,0.8,0.7101
585,BNCH-Java-Jr-Java Jr Dev Test-grades,0.76,0.7114
586,BNCH-Java-Jr-Java Jr Dev Test-grades,0.4,0.3225
587,BNCH-Java-Jr-Java Jr Dev Test-grades,0.24,0.1763
588,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.4481
589,BNCH-Java-Jr-Java Jr Dev Test-grades,0,0
590,BNCH-Java-Jr-Java Jr Dev Test-grades,0.64,0.5761
591,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.4094
592,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.5121
593,BNCH-Java-Jr-Java Jr Dev Test-grades,0,0
594,BNCH-Java-Jr-Java Jr Dev Test-grades,0.28,0.2186
595,BNCH-Java-Jr-Java Jr Dev Test-grades,0.48,0.4928
596,BNCH-Java-Jr-Java Jr Dev Test-grades,0.68,0.622
597,BNCH-Java-Jr-Java Jr Dev Test-grades,0.52,0.3804
598,BNCH-Java-Jr-Java Jr Dev Test-grades,0.16,0.1812
599,BNCH-Java-Jr-Java Jr Dev Test-grades,0.28,0.3225
600,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.3261
601,BNCH-Java-Jr-Java Jr Dev Test-grades,0.84,0.7101
602,BNCH-Java-Jr-Java Jr Dev Test-grades,0.48,0.3937
603,BNCH-Java-Jr-Java Jr Dev Test-grades,0.4,0.3913
604,BNCH-Java-Jr-Java Jr Dev Test-grades,0.24,0.2029
605,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.3792
606,BNCH-Java-Jr-Java Jr Dev Test-grades,0.52,0.5616
607,BNCH-Java-Jr-Java Jr Dev Test-grades,0.52,0.4082
608,BNCH-Java-Jr-Java Jr Dev Test-grades,0.28,0.2814
609,BNCH-Java-Jr-Java Jr Dev Test-grades,0.32,0.2899
610,BNCH-Java-Jr-Java Jr Dev Test-grades,0.52,0.4287
611,BNCH-Java-Jr-Java Jr Dev Test-grades,0.64,0.6135
612,BNCH-Java-Jr-Java Jr Dev Test-grades,0.76,0.6908
613,BNCH-Java-Jr-Java Jr Dev Test-grades,0.52,0.5447
614,BNCH-Java-Jr-Java Jr Dev Test-grades,0.4,0.4227
615,BNCH-Java-Jr-Java Jr Dev Test-grades,0,0
616,BNCH-Java-Jr-Java Jr Dev Test-grades,0.64,0.5906
617,BNCH-Java-Jr-Java Jr Dev Test-grades,0.68,0.6679
618,BNCH-Java-Jr-Java Jr Dev Test-grades,0.68,0.6159
619,BNCH-Java-Jr-Java Jr Dev Test-grades,0.6,0.5435
620,BNCH-Java-Jr-Java Jr Dev Test-grades,0,0
621,BNCH-Java-Jr-Java Jr Dev Test-grades,0.32,0.2681
622,BNCH-Java-Jr-Java Jr Dev Test-grades,0.4,0.3225
623,BNCH-Java-Jr-Java Jr Dev Test-grades,0.48,0.4348
624,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.4215
625,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.3116
626,BNCH-Java-Jr-Java Jr Dev Test-grades,0.36,0.3213
627,BNCH-Java-Jr-Java Jr Dev Test-grades,0.24,0.192
628,BNCH-Java-Jr-Java Jr Dev Test-grades,0.12,0.2246
629,BNCH-Java-Jr-Java Jr Dev Test-grades,0.24,0.2246
630,BNCH-Java-Jr-Java Jr Dev Test-grades,0.16,0.1787
